,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.241,0.237,1,-12.201,1,0.0371,0.952,0.0,0.113,0.303,174.578,audio_features,5dae01pKNjRQtgOeAkFzPY,spotify:track:5dae01pKNjRQtgOeAkFzPY,https://api.spotify.com/v1/tracks/5dae01pKNjRQtgOeAkFzPY,https://api.spotify.com/v1/audio-analysis/5dae01pKNjRQtgOeAkFzPY,194987,3
1,0.455,0.0792,8,-14.181,1,0.0413,0.928,0.0,0.138,0.22,112.112,audio_features,1VBj7RIbwUOjNetvbECBTz,spotify:track:1VBj7RIbwUOjNetvbECBTz,https://api.spotify.com/v1/tracks/1VBj7RIbwUOjNetvbECBTz,https://api.spotify.com/v1/audio-analysis/1VBj7RIbwUOjNetvbECBTz,197973,1
2,0.373,0.124,5,-12.95,1,0.0342,0.969,0.000891,0.123,0.351,86.857,audio_features,0BHroBUvBAp561BYqC9LRK,spotify:track:0BHroBUvBAp561BYqC9LRK,https://api.spotify.com/v1/tracks/0BHroBUvBAp561BYqC9LRK,https://api.spotify.com/v1/audio-analysis/0BHroBUvBAp561BYqC9LRK,185000,3
3,0.697,0.182,7,-12.586,1,0.0357,0.78,0.0,0.126,0.474,82.184,audio_features,0KnD456yC5JuweN932Ems3,spotify:track:0KnD456yC5JuweN932Ems3,https://api.spotify.com/v1/tracks/0KnD456yC5JuweN932Ems3,https://api.spotify.com/v1/audio-analysis/0KnD456yC5JuweN932Ems3,158000,3
4,0.627,0.193,8,-14.935,1,0.0451,0.888,1.49e-06,0.119,0.596,123.231,audio_features,19vjeNqhgk0vhH5TuxDok9,spotify:track:19vjeNqhgk0vhH5TuxDok9,https://api.spotify.com/v1/tracks/19vjeNqhgk0vhH5TuxDok9,https://api.spotify.com/v1/audio-analysis/19vjeNqhgk0vhH5TuxDok9,194333,4
5,0.668,0.446,1,-9.807,1,0.0507,0.842,0.0,0.542,0.928,133.329,audio_features,1JTMYTNi06lZQXOnVRpoK0,spotify:track:1JTMYTNi06lZQXOnVRpoK0,https://api.spotify.com/v1/tracks/1JTMYTNi06lZQXOnVRpoK0,https://api.spotify.com/v1/audio-analysis/1JTMYTNi06lZQXOnVRpoK0,174933,4
6,0.767,0.288,2,-12.741,1,0.0397,0.91,0.000377,0.142,0.722,107.741,audio_features,28IBsttOK2aG9Cb4QtqhMr,spotify:track:28IBsttOK2aG9Cb4QtqhMr,https://api.spotify.com/v1/tracks/28IBsttOK2aG9Cb4QtqhMr,https://api.spotify.com/v1/audio-analysis/28IBsttOK2aG9Cb4QtqhMr,161293,3
7,0.572,0.273,5,-14.906,0,0.0526,0.777,0.0,0.268,0.43,80.236,audio_features,0b0bKit4qoLBliu2KRxl3O,spotify:track:0b0bKit4qoLBliu2KRxl3O,https://api.spotify.com/v1/tracks/0b0bKit4qoLBliu2KRxl3O,https://api.spotify.com/v1/audio-analysis/0b0bKit4qoLBliu2KRxl3O,172840,4
8,0.201,0.213,8,-14.531,1,0.0298,0.805,8.22e-05,0.126,0.203,96.324,audio_features,0zII0Soax7wbm3Avw7iVAd,spotify:track:0zII0Soax7wbm3Avw7iVAd,https://api.spotify.com/v1/tracks/0zII0Soax7wbm3Avw7iVAd,https://api.spotify.com/v1/audio-analysis/0zII0Soax7wbm3Avw7iVAd,204627,4
9,0.248,0.22,7,-10.768,0,0.0299,0.94,0.00197,0.109,0.191,71.377,audio_features,1hVEHu6SemMvlYAP5MWkDj,spotify:track:1hVEHu6SemMvlYAP5MWkDj,https://api.spotify.com/v1/tracks/1hVEHu6SemMvlYAP5MWkDj,https://api.spotify.com/v1/audio-analysis/1hVEHu6SemMvlYAP5MWkDj,242040,4
