,name,artist,api_id,api_name,api_artists
0,Mona Lisa,Nat King Cole,5dae01pKNjRQtgOeAkFzPY,Mona Lisa,Nat King Cole
1,I Wanna Be Loved,Andrews Sisters,1VBj7RIbwUOjNetvbECBTz,I Wanna Be Loved,"The Andrews Sisters,Gordon Jenkins & His Orchestra"
2,Tennessee Waltz,Patti Page,0BHroBUvBAp561BYqC9LRK,Tennessee Waltz,Patti Page
3,Ill Never Be Free,Tennessee Ernie Ford,0KnD456yC5JuweN932Ems3,I'll Never Be Free,"Tennessee Ernie Ford,Kay Starr"
4,All My Love,Patti Page,19vjeNqhgk0vhH5TuxDok9,All My Love,Patti Page
5,Hoop-Dee-Doo,Perry Como,1JTMYTNi06lZQXOnVRpoK0,Hoop-Dee-Doo,Perry Como
6,Dear Hearts And Gentle People,Bing Crosby,28IBsttOK2aG9Cb4QtqhMr,Dear Hearts And Gentle People,Bing Crosby
7,Cry Of The Wild Goose,Frankie Laine,0b0bKit4qoLBliu2KRxl3O,The Cry of the Wild Goose,Frankie Laine
8,Too Young,Nat King Cole,0zII0Soax7wbm3Avw7iVAd,Too Young,Nat King Cole
9,Because Of You,Tony Bennett,1hVEHu6SemMvlYAP5MWkDj,Because of You,"Tony Bennett,k.d. lang"
10,Come On-a My House,Rosemary Clooney,3GVyT9fBXuEkGs1STo2WHZ,Come On-A My House,Rosemary Clooney
11,Be My Love,Mario Lanza,7bETs6oajlWYVo9ycX74Vp,"Be My Love (From ""The Toast of New Orleans"")",Mario Lanza
12,"Cold, Cold Heart",Tony Bennett,6U5Iv1vX8qUOVCMijAgZhL,"Cold, Cold Heart (with Tim McGraw)","Tony Bennett,Tim McGraw"
13,If,Perry Como,1ByBFh9kjYuwpfpzaiMQX9,"If I Loved You - From the Musical Production ""Carousel""",Perry Como
14,Tennessee Waltz,Patti Page,0BHroBUvBAp561BYqC9LRK,Tennessee Waltz,Patti Page
15,Jezebel,Frankie Laine,6SYQwsOxHW5uUYjUpOKtIC,Jezebel,Frankie Laine
16,Mockin' Bird Hill,Patti Page,5yzlxi4VFO8UkxepsL0guW,Mockin' Bird Hill,Patti Page
17,"Rose, Rose I Love You",Frankie Laine,5hQ3Z5zYqHKZBO0pPb16eI,"Rose, Rose, I Love You",Frankie Laine
18,Youre Just In Love,Perry Como,0jVYsBfsxGA7zPurjqnlH8,You're Just In Love (I Wonder Why),Perry Como
19,Because Of You,Les Baxter,4WToccEJeXgFNyfNPuSYCS,Because Of You,Les Baxter
20,Half As Much,Rosemary Clooney,5vIe5BmOlPXarqRxJh9FNE,Half As Much (with Percy Faith & His Orchestra),"Rosemary Clooney,Percy Faith & His Orchestra"
21,I Went To Your Wedding,Patti Page,4cS2Ya30FLHqNb3hwbtjrJ,I Went To Your Wedding,Patti Page
22,Here In My Heart,Al Martino,0mRAY4VhmgEsBvLEFxB6Vm,Here In My Heart,Al Martino
23,Botch-a-me,Rosemary Clooney,72HUHsM38XhUE7YjA7oxLz,Botch-A-Me (Ba-Ba-Baciami Piccina),Rosemary Clooney
24,A Guy Is A Guy,Doris Day,1lZSR5NKeNGuCPSTNL7BhW,A Guy Is a Guy,Doris Day
25,High Noon,Frankie Laine,0ns2AQy1XC8xBYebbVho3I,High Noon (Do Not Forsake Me),Frankie Laine
26,No Other Love,Perry Como,4iyzrJ3qIGBvG8yl5dWHQ8,No Other Love (with Henri René & His Orchestra and Chorus),"Perry Como,Henri René & His Orchestra and Chorus"
27,Dont Let The Stars Get In Your Eyes,Perry Como,2cwTVrrgHxl4gcHY4IHr18,Don't Let The Stars Get In Your Eyes,Perry Como
28,I Believe,Frankie Laine,049uxirFkHOefJ0yqPW8Kk,I Believe,Frankie Laine
29,Ebb Tide,Frank Chacksfield,2jCGELICh9bYpSiJ9bl2vL,Ebb Tide,Frank Chacksfield & His Orchestra
30,Pretend,Nat King Cole,2Gd007dAbihobxsTG9m7cZ,Pretend,Nat King Cole
31,Rags To Riches,Tony Bennett,4BH8EuPAxeFAh1rSWtnGdD,Rags to Riches - Remastered,Tony Bennett
32,Say You're Mine Again,Perry Como,2JIfFyJO0AQzmm83lzdrNg,Say You're Mine Again (with The Ramblers),"Perry Como,The Ramblers"
33,Tell Me A Story,Frankie Laine,1THl7yjezM9SW8x2taVS5w,Tell Me a Story - Single Version,"Frankie Laine,Jimmy Boyd"
34,Cest Si Bon,Eartha Kitt,3U69pCQwveSOn5bl9VAime,C'est Si Bon,Eartha Kitt
35,Wanted,Perry Como,77i95B3GcC2aOqK70RHM0m,Wanted (with Henri René & His Orchestra and Chorus),"Perry Como,Henri René & His Orchestra and Chorus"
36,Hey There,Rosemary Clooney,1I0KwaoGH86u2oeSIU0TuW,Hey There,Rosemary Clooney
37,Secret Love,Doris Day,5wzjc23Qsn7wN75eLMvFEc,Secret Love,Doris Day
38,Young At Heart,Frank Sinatra,0QbRfr3pJtHGxhIpIMYmbN,Young At Heart,Frank Sinatra
39,This Ole House,Rosemary Clooney,3reMY0PF49alfXMs30c2z4,This Ole House - Single Version,Rosemary Clooney
40,Cross Over The Bridge,Patti Page,6aQgRRJc84eM7Nsd3oydf3,Cross Over The Bridge,Patti Page
41,That's Amore,Dean Martin,4I4aQGNJ2HufloNtB65nxR,That's Amore,"Dean Martin,Dick Stabile And His Orchestra"
42,Answer Me My Love,Nat King Cole,4i7bU18iUPKxPMrld9W48M,"Answer Me, My Love",Nat King Cole
43,Stranger In Paradise,Tony Bennett,1HUc5mDTIx8Ul2cxSiAkcj,Stranger In Paradise,"Tony Bennett,Andrea Bocelli"
44,If I Give My Heart To You,Doris Day,20G1XJaTwIm2IuwA3Pjg1d,If I Give My Heart to You (with The Mellomen),"Doris Day,The Mellomen"
45,Changing Partners,Patti Page,64ZGxABmrreTNE8tnCGoGa,Changing Partners,Patti Page
46,Papa Loves Mambo,Perry Como,62eAoNfrrS84177LOzJMQx,Papa Loves Mambo,Perry Como
47,"Shake, Rattle And Roll",Bill Haley and His Comets,5z2Gef9D3UgRquZXe7UUW4,"Shake, Rattle And Roll",Bill Haley & His Comets
48,Rags To Riches,Tony Bennett,4BH8EuPAxeFAh1rSWtnGdD,Rags to Riches - Remastered,Tony Bennett
49,Unchained Melody,Les Baxter,4dnbvB2Y3cZncApCwowEQx,Unchained Melody,Les Baxter
50,Aint That A Shame,Pat Boone,6pTybvSMcw5spOS7d656rn,Ain't That A Shame,Pat Boone
51,Sixteen Tons,Tennessee Ernie Ford,4KM77RUl2IKdXGhtOBbKIS,Sixteen Tons,Tennessee Ernie Ford
52,Learnin' The Blues,Frank Sinatra,6rNOKdqa2lThuBIJOZXSVa,Learnin' The Blues,Frank Sinatra
53,Mr. Sandman,Chordettes,1T3tP6HvCgDF8ewpRqwM1e,Mr. Sandman,The Chordettes
54,A Blossom Fell,Nat King Cole,35eRfaVytfTFAr8QKX5urU,A Blossom Fell,Nat King Cole
55,The Ballad Of Davy Crockett,Tennessee Ernie Ford,15mGhkWTMqYVle8OCLCmrh,The Ballad Of Davy Crockett,Tennessee Ernie Ford
56,Only You,Platters,0S8ibKBl3tjRmYbZhGHNhG,Only You (And You Alone),The Platters
57,Heartbreak Hotel,Elvis Presley,6xNwKNYZcvgV3XTIwsgNio,Heartbreak Hotel,Elvis Presley
58,Dont Be Cruel,Elvis Presley,4zzXm1QJQXWLyUfFhWZBRg,Don't Be Cruel,Elvis Presley
59,My Prayer,Platters,1ntGJDSakqsaw1KhptKrB5,My Prayer,The Platters
60,Hound Dog,Elvis Presley,64Ny7djQ6rNJspquof2KoX,Hound Dog,Elvis Presley
61,Memories Are Made Of This,Dean Martin,4h0igWYayzteBtSNpWYQ9h,Memories Are Made Of This,Dean Martin
62,The Great Pretender,Platters,2FkCjtQ1lYsf71s2FAS8hE,The Great Pretender,The Platters
63,I Almost Lost My Mind,Pat Boone,7bJpjO7r5gMsHx1oepanuS,I Almost Lost My Mind,Pat Boone
64,"I Want You, I Need You, I Love You",Elvis Presley,60tEaPHRJLnMzbyOPTeh3A,"I Want You, I Need You, I Love You",Elvis Presley
65,Love Me Tender,Elvis Presley,4GAhAw0RCzNVP976NRMOqO,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",Elvis Presley
66,Hot Diggity,Perry Como,1aoamOgih6cHb0TZq9gO9A,Hot Diggity (Dog Ziggity Boom),Perry Como
