index,artist
0,Nat King Cole
1,The Andrews Sisters
1,Gordon Jenkins & His Orchestra
2,Patti Page
3,Tennessee Ernie Ford
3,Kay Starr
4,Patti Page
5,Perry Como
6,Bing Crosby
7,Frankie Laine
8,Nat King Cole
9,Tony Bennett
9,k.d. lang
10,Rosemary Clooney
11,Mario Lanza
12,Tony Bennett
12,Tim McGraw
13,Perry Como
14,Patti Page
15,Frankie Laine
16,Patti Page
17,Frankie Laine
18,Perry Como
19,Les Baxter
20,Rosemary Clooney
20,Percy Faith & His Orchestra
21,Patti Page
22,Al Martino
23,Rosemary Clooney
24,Doris Day
25,Frankie Laine
26,Perry Como
26,Henri René & His Orchestra and Chorus
27,Perry Como
28,Frankie Laine
29,Frank Chacksfield & His Orchestra
30,Nat King Cole
31,Tony Bennett
32,Perry Como
32,The Ramblers
33,Frankie Laine
33,Jimmy Boyd
34,Eartha Kitt
35,Perry Como
35,Henri René & His Orchestra and Chorus
36,Rosemary Clooney
37,Doris Day
38,Frank Sinatra
39,Rosemary Clooney
40,Patti Page
41,Dean Martin
41,Dick Stabile And His Orchestra
42,Nat King Cole
43,Tony Bennett
43,Andrea Bocelli
44,Doris Day
44,The Mellomen
45,Patti Page
46,Perry Como
47,Bill Haley & His Comets
48,Tony Bennett
49,Les Baxter
50,Pat Boone
51,Tennessee Ernie Ford
52,Frank Sinatra
53,The Chordettes
54,Nat King Cole
55,Tennessee Ernie Ford
56,The Platters
57,Elvis Presley
58,Elvis Presley
59,The Platters
60,Elvis Presley
61,Dean Martin
62,The Platters
63,Pat Boone
64,Elvis Presley
65,Elvis Presley
66,Perry Como
67,Carl Perkins
68,Tennessee Ernie Ford
69,Patti Page
70,Fats Domino
71,Gene Vincent & His Blue Caps
72,Pat Boone
73,The Chordettes
74,Perry Como
74,Mitchell Ayres & His Orchestra
74,The Ray Charles Singers
75,Fats Domino
76,Bing Crosby
76,Rosemary Clooney
77,Little Richard
78,Nervous Norvus
79,Lonnie Donegan & His Skiffle Group
80,Pat Boone
81,Frank Sinatra
82,Andy Williams
83,Jerry Vale
83,Percy Faith & His Orchestra
84,Patti Page
