index,tag
0,american
0,death by lung cancer
0,easy listening soundtracks and musicals
0,jazz
0,jump blues
0,pop
0,swing
0,usa
0,vocal jazz
1,andrews sisters
2,country
2,pop
3,death by liver failure
3,spiritual
4,country
4,pop
5,adult contemporary
5,american
5,big band
5,classic pop and rock
5,country
5,easy listening
5,jazz
5,latin
5,pop
5,rock
5,rock and roll
5,swing
6,american
6,christmas music
6,death by heart attack
6,dixieland
6,easy listening soundtracks and musicals
6,film soundtrack
6,jazz
6,pop
6,standards
6,traditional pop
6,vocal jazz
7,death by heart failure
8,american
8,death by lung cancer
8,easy listening soundtracks and musicals
8,jazz
8,jump blues
8,pop
8,swing
8,usa
8,vocal jazz
9,american
9,jazz
9,pop
10,american
10,jazz
10,pop
10,vocal jazz
11,death by heart attack
11,death by pulmonary embolism
12,american
12,jazz
12,pop
13,adult contemporary
13,american
13,big band
13,classic pop and rock
13,country
13,easy listening
13,jazz
13,latin
13,pop
13,rock
13,rock and roll
13,swing
14,country
14,pop
15,death by heart failure
16,country
16,pop
17,death by heart failure
18,adult contemporary
18,american
18,big band
18,classic pop and rock
18,country
18,easy listening
18,jazz
18,latin
18,pop
18,rock
18,rock and roll
18,swing
19,film composer
20,american
20,jazz
20,pop
20,vocal jazz
21,country
21,pop
22,classic pop and rock
23,american
23,jazz
23,pop
23,vocal jazz
24,american
24,big band
24,easy listening soundtracks and musicals
24,pop
25,death by heart failure
26,adult contemporary
26,american
26,big band
26,classic pop and rock
26,country
26,easy listening
26,jazz
26,latin
26,pop
26,rock
26,rock and roll
26,swing
27,adult contemporary
27,american
27,big band
27,classic pop and rock
27,country
27,easy listening
27,jazz
27,latin
27,pop
27,rock
27,rock and roll
27,swing
28,death by heart failure
29,production music
30,american
30,death by lung cancer
30,easy listening soundtracks and musicals
30,jazz
30,jump blues
30,pop
30,swing
30,usa
30,vocal jazz
31,american
31,jazz
31,pop
32,adult contemporary
32,american
32,big band
32,classic pop and rock
32,country
32,easy listening
32,jazz
32,latin
32,pop
32,rock
32,rock and roll
32,swing
33,death by heart failure
34,american
34,jazz
35,adult contemporary
35,american
35,big band
35,classic pop and rock
35,country
35,easy listening
35,jazz
35,latin
35,pop
35,rock
35,rock and roll
35,swing
36,american
36,jazz
36,pop
36,vocal jazz
37,american
37,big band
37,easy listening soundtracks and musicals
37,pop
38,big band
38,chrismas
38,christmas
38,columbia
38,easy listening soundtracks and musicals
38,garland
38,jazz
38,pop
38,swing
38,swing; jazz; big band; christmas
38,vocal
39,american
39,jazz
39,pop
39,vocal jazz
40,country
40,pop
41,american
41,big band
41,christmas music
41,classic pop and rock
41,country pop
41,pop
41,standards
41,traditional pop
41,vocal jazz
42,american
42,death by lung cancer
42,easy listening soundtracks and musicals
42,jazz
42,jump blues
42,pop
42,swing
42,usa
42,vocal jazz
43,american
43,jazz
43,pop
44,american
44,big band
44,easy listening soundtracks and musicals
44,pop
45,country
45,pop
46,adult contemporary
46,american
46,big band
46,classic pop and rock
46,country
46,easy listening
46,jazz
46,latin
46,pop
46,rock
46,rock and roll
46,swing
47,american
47,country
47,rock
47,rock & roll
47,rock and roll
48,american
48,jazz
48,pop
49,film composer
50,country
50,gospel
50,pop
51,death by liver failure
51,spiritual
52,big band
52,chrismas
52,christmas
52,columbia
52,easy listening soundtracks and musicals
52,garland
52,jazz
52,pop
52,swing
52,swing; jazz; big band; christmas
52,vocal
53,classic pop and rock
53,vocal harmony
54,american
54,death by lung cancer
54,easy listening soundtracks and musicals
54,jazz
54,jump blues
54,pop
54,swing
54,usa
54,vocal jazz
55,death by liver failure
55,spiritual
56,easy listening soundtracks and musicals
57,american
57,blue-eyed soul
57,blues
57,christmas music
57,classic pop and rock
57,country
57,flaming
57,gospel
57,if you talk in your sleep
57,love
57,oldies
57,party
57,pop
57,pop rock
57,pop/rock
57,rock
57,rock & roll
57,rock and roll
57,rockabilly
57,singer
58,american
58,blue-eyed soul
58,blues
58,christmas music
58,classic pop and rock
58,country
58,flaming
58,gospel
58,if you talk in your sleep
58,love
58,oldies
58,party
58,pop
58,pop rock
58,pop/rock
58,rock
58,rock & roll
58,rock and roll
58,rockabilly
58,singer
59,easy listening soundtracks and musicals
60,american
60,blue-eyed soul
60,blues
60,christmas music
60,classic pop and rock
60,country
60,flaming
60,gospel
60,if you talk in your sleep
60,love
60,oldies
60,party
60,pop
60,pop rock
60,pop/rock
60,rock
60,rock & roll
60,rock and roll
60,rockabilly
60,singer
61,american
61,big band
61,christmas music
61,classic pop and rock
61,country pop
61,pop
61,standards
61,traditional pop
61,vocal jazz
62,easy listening soundtracks and musicals
63,country
63,gospel
63,pop
64,american
64,blue-eyed soul
64,blues
64,christmas music
64,classic pop and rock
64,country
64,flaming
64,gospel
64,if you talk in your sleep
64,love
64,oldies
64,party
64,pop
64,pop rock
64,pop/rock
64,rock
64,rock & roll
64,rock and roll
64,rockabilly
64,singer
65,american
65,blue-eyed soul
65,blues
65,christmas music
65,classic pop and rock
65,country
65,flaming
65,gospel
65,if you talk in your sleep
65,love
65,oldies
65,party
65,pop
65,pop rock
65,pop/rock
65,rock
65,rock & roll
65,rock and roll
65,rockabilly
65,singer
66,adult contemporary
66,american
66,big band
66,classic pop and rock
66,country
66,easy listening
66,jazz
66,latin
66,pop
66,rock
66,rock and roll
66,swing
67,american
67,country
67,death by stroke
67,death by throat cancer
67,rock
67,rock & roll
67,rockabilly
68,death by liver failure
68,spiritual
69,country
69,pop
70,boogie-woogie
70,new orleans r b
70,new orleans r&b
70,piano blues
70,rhythm & blues
70,rnb
70,rock
70,rock & roll
70,rock and indie
70,rock and roll
71,death by ruptured stomach ulcer
72,country
72,gospel
72,pop
73,classic pop and rock
73,vocal harmony
74,adult contemporary
74,american
74,big band
74,classic pop and rock
74,country
74,easy listening
74,jazz
74,latin
74,pop
74,rock
74,rock and roll
74,swing
75,boogie-woogie
75,new orleans r b
75,new orleans r&b
75,piano blues
75,rhythm & blues
75,rnb
75,rock
75,rock & roll
75,rock and indie
75,rock and roll
76,american
76,christmas music
76,death by heart attack
76,dixieland
76,easy listening soundtracks and musicals
76,film soundtrack
76,jazz
76,pop
76,standards
76,traditional pop
76,vocal jazz
77,classic pop and rock
77,funk
77,pop
77,rhythm & blues
77,rock
77,rock & roll
77,soul
78,death by cirrhosis
79,british
79,english
79,scottish
79,uk
80,country
80,gospel
80,pop
81,big band
81,chrismas
81,christmas
81,columbia
81,easy listening soundtracks and musicals
81,garland
81,jazz
81,pop
81,swing
81,swing; jazz; big band; christmas
81,vocal
82,easy listening soundtracks and musicals
83,american
84,country
84,pop
85,american
85,death by lung cancer
85,easy listening soundtracks and musicals
85,jazz
85,jump blues
85,pop
85,swing
85,usa
85,vocal jazz
86,adult contemporary
86,american
86,big band
86,classic pop and rock
86,country
86,easy listening
86,jazz
86,latin
86,pop
86,rock
86,rock and roll
86,swing
87,easy listening soundtracks and musicals
88,adult contemporary
88,american
88,big band
88,classic pop and rock
88,country
88,easy listening
88,jazz
88,latin
88,pop
88,rock
88,rock and roll
88,swing
89,american
89,americana
89,blues
89,contemporary folk
89,country
89,country gospel
89,death by diabetes
89,favorite
89,folk
89,gospel
89,osteraker
89,outlaw country
89,rock
89,rock and roll
89,rockabilly
89,spoken word
89,traditional country
90,american
90,jazz
90,pop
91,actress
91,dancer
91,singer
92,american
92,death by lung cancer
92,easy listening soundtracks and musicals
92,jazz
92,jump blues
92,pop
92,swing
92,usa
92,vocal jazz
93,american
93,big band
93,death by diabetes
93,death by heart attack
93,easy listening soundtracks and musicals
93,female vocalist
93,jazz
93,pop
93,show tunes
93,standards
93,traditional pop
93,vocal jazz
94,boogie-woogie
94,new orleans r b
94,new orleans r&b
94,piano blues
94,rhythm & blues
94,rnb
94,rock
94,rock & roll
94,rock and indie
94,rock and roll
95,classic pop and rock
95,vocal harmony
96,american
96,blue-eyed soul
96,blues
96,christmas music
96,classic pop and rock
96,country
96,flaming
96,gospel
96,if you talk in your sleep
96,love
96,oldies
96,party
96,pop
96,pop rock
96,pop/rock
96,rock
96,rock & roll
96,rock and roll
96,rockabilly
96,singer
97,country
97,gospel
97,pop
98,death by throat cancer
99,country
99,gospel
99,pop
100,american
100,blue-eyed soul
100,blues
100,christmas music
100,classic pop and rock
100,country
100,flaming
100,gospel
100,if you talk in your sleep
100,love
100,oldies
100,party
100,pop
100,pop rock
100,pop/rock
100,rock
100,rock & roll
100,rock and roll
100,rockabilly
100,singer
101,adult contemporary
101,american
101,big band
101,classic pop and rock
101,country
101,easy listening
101,jazz
101,latin
101,pop
101,rock
101,rock and roll
101,swing
102,classic pop and rock
103,american
103,blue-eyed soul
103,blues
103,christmas music
103,classic pop and rock
103,country
103,flaming
103,gospel
103,if you talk in your sleep
103,love
103,oldies
103,party
103,pop
103,pop rock
103,pop/rock
103,rock
103,rock & roll
103,rock and roll
103,rockabilly
103,singer
104,american
104,blue-eyed soul
104,blues
104,christmas music
104,classic pop and rock
104,country
104,flaming
104,gospel
104,if you talk in your sleep
104,love
104,oldies
104,party
104,pop
104,pop rock
104,pop/rock
104,rock
104,rock & roll
104,rock and roll
104,rockabilly
104,singer
105,american
105,death by heart surgery
106,classic pop and rock
107,death by gun
107,gospel
107,pop soul
107,rhythm & blues
107,soul
107,soul and reggae
107,southern soul
107,traditional pop
107,vocal
108,american
108,rhythm and blues
108,rock
108,rock and roll
109,american
109,blues
109,blues rock
109,classic pop and rock
109,novelty
109,rhythm & blues
109,rock
109,rock & roll
109,rock and roll
109,rock n roll
109,usa
110,death by heart failure
111,canadian
111,easy listening soundtracks and musicals
112,all-time greatest hits
112,death by airplane
113,death by tuberculosis
114,american
114,classic pop and rock
114,country
114,jerry lee lewis
114,pop
114,rock
114,rock and roll
114,rockabilly
115,death by heart failure
116,easy listening
116,jazz
116,pop
116,soul
117,easy listening soundtracks and musicals
118,boogie-woogie
118,new orleans r b
118,new orleans r&b
118,piano blues
118,rhythm & blues
118,rnb
118,rock
118,rock & roll
118,rock and indie
118,rock and roll
119,easy listening
119,jazz
119,pop
119,soul
120,american
120,death by lung cancer
120,easy listening soundtracks and musicals
120,jazz
120,jump blues
120,pop
120,swing
120,usa
120,vocal jazz
121,all-time greatest hits
121,death by airplane
122,country
122,pop
123,boogie-woogie
123,new orleans r b
123,new orleans r&b
123,piano blues
123,rhythm & blues
123,rnb
123,rock
123,rock & roll
123,rock and indie
123,rock and roll
124,boogie-woogie
124,new orleans r b
124,new orleans r&b
124,piano blues
124,rhythm & blues
124,rnb
124,rock
124,rock & roll
124,rock and indie
124,rock and roll
125,easy listening
125,jazz
125,pop
125,soul
126,american
126,blue-eyed soul
126,blues
126,christmas music
126,classic pop and rock
126,country
126,flaming
126,gospel
126,if you talk in your sleep
126,love
126,oldies
126,party
126,pop
126,pop rock
126,pop/rock
126,rock
126,rock & roll
126,rock and roll
126,rockabilly
126,singer
127,american
127,blues
127,calypso
127,classic pop and rock
127,contemporary folk
127,mento
127,pop
127,traditional pop
128,country
128,gospel
128,pop
129,christmas music
129,classic pop and rock
129,country
129,country gospel
129,country pop
129,death by airplane
129,nashville sound
130,american
130,jazz
130,pop
131,american
131,rhythm and blues
131,rock
131,rock and roll
132,easy listening soundtracks and musicals
133,american
133,blues
133,blues rock
133,classic pop and rock
133,novelty
133,rhythm & blues
133,rock
133,rock & roll
133,rock and roll
133,rock n roll
133,usa
134,classic pop and rock
134,funk
134,pop
134,rhythm & blues
134,rock
134,rock & roll
134,soul
135,country
135,gospel
135,pop
136,classic pop and rock
136,funk
136,pop
136,rhythm & blues
136,rock
136,rock & roll
136,soul
137,death by peritonitis
138,death by ruptured stomach ulcer
139,boogie-woogie
139,new orleans r b
139,new orleans r&b
139,piano blues
139,rhythm & blues
139,rnb
139,rock
139,rock & roll
139,rock and indie
139,rock and roll
140,country
140,gospel
140,pop
141,american
141,blue-eyed soul
141,blues
141,christmas music
141,classic pop and rock
141,country
141,flaming
141,gospel
141,if you talk in your sleep
141,love
141,oldies
141,party
141,pop
141,pop rock
141,pop/rock
141,rock
141,rock & roll
141,rock and roll
141,rockabilly
141,singer
142,cuban
142,death by stroke
143,death by brain aneurysm
144,american
144,big band
144,christmas music
144,classic pop and rock
144,country pop
144,pop
144,standards
144,traditional pop
144,vocal jazz
145,easy listening soundtracks and musicals
146,death by tuberculosis
147,american
147,rhythm and blues
147,rock
147,rock and roll
148,all-time greatest hits
148,death by airplane
149,rock and roll
150,folk
151,american
151,blues
151,blues rock
151,classic pop and rock
151,novelty
151,rhythm & blues
151,rock
151,rock & roll
151,rock and roll
151,rock n roll
151,usa
152,classic pop and rock
153,american
153,classic pop and rock
153,country
153,jerry lee lewis
153,pop
153,rock
153,rock and roll
153,rockabilly
154,classic pop and rock
154,vocal harmony
155,big band
155,brill building
155,death by blood poisoning
155,easy listening soundtracks and musicals
155,folk
155,pop
155,rock
155,rock & roll
155,rock and roll
155,standards
155,teen pop
155,traditional pop
156,american
156,pop
157,country
157,gospel
157,pop
158,american
158,classic pop and rock
158,death by airplane
158,pop
158,pop rock
158,rock
158,rock & roll
158,rock and roll
158,rockabilly
159,american
160,classic pop and rock
160,death by airplane
160,pop
160,rock & roll
161,big band
161,chrismas
161,christmas
161,columbia
161,easy listening soundtracks and musicals
161,garland
161,jazz
161,pop
161,swing
161,swing; jazz; big band; christmas
161,vocal
162,american
162,blue-eyed soul
162,blues
162,christmas music
162,classic pop and rock
162,country
162,flaming
162,gospel
162,if you talk in your sleep
162,love
162,oldies
162,party
162,pop
162,pop rock
162,pop/rock
162,rock
162,rock & roll
162,rock and roll
162,rockabilly
162,singer
163,death by automobile
164,death by tuberculosis
